id,name,rank,ancestor
17716878355045720868,Aalivirus,Genus,9173725076793168738
13180984617732551494,Abidjanvirus,Genus,11899485691544492006
1650325888921121233,Abnidovirineae,Suborder,16290532738832004111
16797069895869591789,Abouovirus,Genus,6981333651723785547
12758403923039509403,Abyssoviridae,Family,1650325888921121233
17915401392615996594,Acadianvirus,Genus,5088620819186566925
12748664558343260862,Ackermannviridae,Family,4688094981225374454
9373193618340748945,Actantavirinae,Subfamily,11677197057783500794
8015486362337857641,Actinovirus,Genus,9373193618340748945
12220053415754138688,Adenoviridae,Family,
3094311761558663385,Agantavirinae,Subfamily,11677197057783500794
16350480208514669034,Agatevirus,Genus,17142241886798852974
2329844075549260975,Ageyesisatellite,Genus,5232518423114132944
8273292258048558928,Aglimvirinae,Subfamily,12748664558343260862
1663784730555894255,Agnathovirus,Genus,3094311761558663385
8188743892274231080,Agricanvirus,Genus,6981333651723785547
10288209018493492664,Agtrevirus,Genus,8273292258048558928
12688035229507972623,Ahduovirus,Genus,11899485691544492006
2607779504391378086,Ailurivirus,Genus,9173725076793168738
11231054907803446728,Albetovirus,Genus,4599195356974050869
10270610208167733032,Alcyoneusvirus,Genus,6981333651723785547
4672116433215500955,Alefpapillomavirus,Genus,16459844063899621974
14188252530513228304,Alfamovirus,Genus,7168675313662717141
6879254759295124661,Allexivirus,Genus,9252919582085191391
5794235181229681054,Alloherpesviridae,Family,638965020173107913
7089476654326814854,Allolevivirus,Genus,7995600327008799950
16076797084527660931,Almendravirus,Genus,3133221597971588990
2922176908135730601,Alphaabyssovirus,Genus,13888696275484536452
13713170219020036209,Alphaarterivirus,Genus,8522807828528123752
5968923883683097855,Alphabaculovirus,Genus,13015683766192591039
16602086335609695575,Alphacarmotetravirus,Genus,3911488597940277518
2264928079486370903,Alphacarmovirus,Genus,7641791751908040520
3337767426426839841,Alphachrysovirus,Genus,1522031434864713089
5576532240118440814,Alphacoronavirus,Genus,9372303298172469915
16557841788120180325,Alphaendornavirus,Genus,12882413927931771909
11611971684426139831,Alphaentomopoxvirus,Genus,16195394246599863669
9252919582085191391,Alphaflexiviridae,Family,9273559344484886709
10776229019040537553,Alphafusellovirus,Genus,15300765160314224066
13547681313355468317,Alphaguttavirus,Genus,2974162886097747741
13681533864503273615,Alphaherpesvirinae,Subfamily,17374364102234090017
14129991496067121833,Alphainfluenzavirus,Genus,10373798200058817885
11222979088855428697,Alphairidovirinae,Subfamily,14326303205127378556
14911118920462013788,Alphaletovirus,Genus,3164647591274919587
4654839494980680429,Alphamesonivirus,Genus,10050240109797131360
16280665544666198154,Alphamononivirus,Genus,13556305584897005103
17797620504707969947,Alphanecrovirus,Genus,7641791751908040520
12453339358058193021,Alphanemrhavirus,Genus,3133221597971588990
13612568911054513778,Alphanodavirus,Genus,13443589885939834549
7804043241834959116,Alphanudivirus,Genus,2619598984258841087
5121289666196375085,Alphaovalivirus,Genus,4262804056583084625
16933510533333075587,Alphapapillomavirus,Genus,16183199706657812616
1938048156078704748,Alphapartitivirus,Genus,16258601861311703440
7180427034428004800,Alphapermutotetravirus,Genus,10169718770674038687
17463129251670659465,Alphapleolipovirus,Genus,5161781648906199824
4758143467757778201,Alphapolyomavirus,Genus,3444836407271603922
16278030881689626410,Alphaportoglobovirus,Genus,7569211200287679827
1844441426086650504,Alpharetrovirus,Genus,5529715125402291143
7018209632590305617,Alphasatellitidae,Family,
13827788744057684017,Alphasphaerolipovirus,Genus,9703158791805727021
10765767668798304272,Alphaspiravirus,Genus,8483946233463262563
8757204302916276122,Alphatectivirus,Genus,6892049332686362364
6654124933490528709,Alphatetraviridae,Family,4599195356974050869
15215623077705400048,Alphatorquevirus,Genus,726055528227582715
10744887717852886322,Alphatrevirus,Genus,2289802452860932726
8977946364217008570,Alphatristromavirus,Genus,6946162624092824948
10394585246773871650,Alphaturrivirus,Genus,3638453545164749235
14752743643973068274,Alphavirus,Genus,4325012553040563742
8111665924824425172,Alvernaviridae,Family,4599195356974050869
3990036958918886630,Amalgaviridae,Family,4599195356974050869
7255185071325117179,Amalgavirus,Genus,3990036958918886630
6985474930578954014,Ambidensovirus,Genus,3836539344103040063
16977041347311372424,Amdoparvovirus,Genus,6801232604245579054
7777350090615162703,Amigovirus,Genus,11899485691544492006
2889077483867760485,Amnoonviridae,Family,9380425007472470983
17830836148623579201,Ampelovirus,Genus,9548093120345816919
6025708669465787251,Ampivirus,Genus,9173725076793168738
7574714430050730048,Ampobartevirus,Subgenus,7691897071965806911
11277479164575894295,Ampullaviridae,Family,
8594920073009043205,Ampullavirus,Genus,11277479164575894295
7830937778578189431,Anativirus,Genus,9173725076793168738
16429087546973031614,Anatolevirus,Genus,11899485691544492006
6231239726153615903,Andecovirus,Subgenus,9218417344819324615
9202893054412509399,Andromedavirus,Genus,11899485691544492006
726055528227582715,Anelloviridae,Family,
11122337455879726005,Anphevirus,Genus,10587294476599310319
10599449646054801626,Antennavirus,Genus,15119277073868322277
5246089495178410457,Anulavirus,Genus,7168675313662717141
