"","vVirusNameCorrected","hHostNameFinal","WildDomInReference","DetectionMethod","DetectionQuality","Reference"
"35","Foot-and-mouth_disease_virus","Alcelaphus_buselaphus","wild","Antibodies",0,"Ayebazibwe et al. 2010a in Weaver & Karesh 2013"
"36","Ovine_herpesvirus_2","Alcelaphus_buselaphus","wild","VNT",1,"Reid et al. 1975"
"37","Bovine_herpesvirus_1","Alces_alces","domestic","VNT",1,"Kocan et al. 1986"
"38","Bovine_viral_diarrhea_virus_1","Alces_alces","wild","Antibodies",0,"Thorsen and Henderson 1971"
"39","European_elk_papillomavirus","Alces_alces","wild","Isolation",2,"Moreno-Lopez et al. 1986"
"40","Ovine_herpesvirus_2","Alces_alces","wild","PCR",2,"Vikoren et al. 2006"
"41","St._Louis_encephalitis_virus","Alces_alces","domestic","Antibodies",0,"Trainer et al. 1971"
"42","Simian_foamy_virus","Allenopithecus_nigroviridis","wild","PCR",2,"Schweizer et al. 1995"
"43","Rabies_virus","Vulpes_lagopus","wild","PCR",2,"Kuzmin et al. 2004"
"44","St._Louis_encephalitis_virus","Alouatta_caraya","wild","Antibodies",0,"Contigiani et al. 2000"
"45","Una_virus","Alouatta_caraya","wild","Antibodies",0,"Diaz et al. 2003"
"46","Yellow_fever_virus","Alouatta_caraya","wild","Antibodies",0,"Vasconcelos et al. 2003"
"47","Vesicular_stomatitis_Indiana_virus","Alouatta_palliata","wild","Antibodies",0,"Nisbett 2003"
"48","Yellow_fever_virus","Alouatta_palliata","wild","Antibodies",0,"Galindo & Srihongse 1967"
"49","St._Louis_encephalitis_virus","Alouatta_pigra","wild","Antibodies",0,"Seymour et al. 1989"
"50","Vesicular_stomatitis_Indiana_virus","Alouatta_pigra","wild","plaque reduction neutralization",1,"Tesh et al. 1969"
"51","Mayaro_virus","Alouatta_seniculus","wild","Antibodies",0,"de Thoisy et al. 2003"
"52","Modoc_virus","Ammospermophilus_nelsoni","wild","Antibodies",0,"Hardy et al. 1974"
"53","St._Louis_encephalitis_virus","Ammospermophilus_nelsoni","wild","Antibodies",0,"Hardy et al. 1974"
"54","Western_equine_encephalitis_virus","Ammospermophilus_nelsoni","wild","Isolation",2,"Hardy et al. 1974"
"55","Bluetongue_virus","Ammotragus_lervia","wild","Antibodies",0,"Ruiz-Fons et al. 2008"
"56","Bovine_herpesvirus_1","Ammotragus_lervia","wild","CF",0,"Hampy et al. 1979"
"57","Bimiti_virus","Anoura_geoffroyi","wild","Antibodies",0,"Price 1978"
"58","Catu_virus","Anoura_geoffroyi","wild","Antibodies",0,"Price 1978"
"59","Dengue_virus","Anoura_geoffroyi","wild","Antibodies",0,"Price 1978"
"60","Guama_virus","Anoura_geoffroyi","wild","Antibodies",0,"Price 1978"
"61","Ilheus_virus","Anoura_geoffroyi","wild","Antibodies",0,"Price 1978"
"62","Rio_Bravo_virus","Anoura_geoffroyi","wild","Antibodies",0,"Price 1978"
"63","St._Louis_encephalitis_virus","Anoura_geoffroyi","wild","Antibodies",0,"Price 1978"
"64","Tamana_bat_virus","Anoura_geoffroyi","wild","Antibodies",0,"Price 1978"
"65","Bovine_viral_diarrhea_virus_1","Antidorcas_marsupialis","wild","SNT",1,"Hamblin and Hedger 1979"
"66","Crimean-Congo_hemorrhagic_fever_virus","Antidorcas_marsupialis","wild","Antibodies",0,"Shepherd et al. 1987"
"67","Foot-and-mouth_disease_virus","Antidorcas_marsupialis","wild","Antibodies",0,"Falconer & Child 1975 in Weaver & Karesh 2013"
"68","Lumpy_skin_disease_virus","Antidorcas_marsupialis","wild","Antibodies",0,"Hedger and Hamblin 1983"
"69","Rift_Valley_fever_virus","Antidorcas_marsupialis","wild","PCR",2,"Capobianco Dondona 2016"
"70","Bluetongue_virus","Antilocapra_americana","wild","Antibodies",0,"Dubay et al. 2006"
"71","Bovine_parainfluenza_virus_3","Antilocapra_americana","wild","Antibodies",0,"Dunbar et al. 1999"
"72","Bovine_viral_diarrhea_virus_1","Antilocapra_americana","wild","SNT",1,"Barrett and Chalmers 1975"
"73","Epizootic_hemorrhagic_disease_virus","Antilocapra_americana","wild","Antibodies",0,"Dubay et al. 2006"
"74","St._Louis_encephalitis_virus","Antilocapra_americana","wild","Antibodies",0,"Williams et al. 2001"
"75","Vesicular_stomatitis_Indiana_virus","Antilocapra_americana","wild","SNT",1,"Webb et al. 1987"
"76","Bluetongue_virus","Antilope_cervicapra","wild","Antibodies",0,"Bhat et al. 1998"
"77","Epizootic_hemorrhagic_disease_virus","Antilope_cervicapra","wild","Antibodies",0,"Williams et al. 2001"
"78","Foot-and-mouth_disease_virus","Antilope_cervicapra","wild","Isolation",2,"Kar et al. 1983; Hegde et al. 2011 in Weaver & Karesh 2013"
"79","Rabies_virus","Antrozous_pallidus","wild","PCR",2,"Blanton et al. 2008"
"80","Measles_virus","Aotus_azarae","wild","Antibodies",0,"O'Brien et al. 1981"
"81","Encephalomyocarditis_virus","Aotus_trivirgatus","wild","Isolation",2,"Roca-Garcia 1957"
"82","GB_virus_A","Aotus_trivirgatus","wild","PCR",2,"Bukh & Apgar 1997"
"83","GB_virus_B","Aotus_trivirgatus","captive","Isolation",2,"Bukh et al. 2001a"
"84","Hepatitis_A_virus","Aotus_trivirgatus","captive","Antibodies",0,"Lemon et al. 1982"
"85","Hepatitis_A_virus","Aotus_trivirgatus","wild","Antibodies",0,"Lemon et al. 1982"
"86","Measles_virus","Aotus_trivirgatus","wild","Isolation",2,"Fowler & Miller. 2003"
"87","Torque_Teno_virus","Aotus_trivirgatus","wild","PCR",2,"Catroxo et al. 2008"
"88","Vesicular_stomatitis_Indiana_virus","Aotus_trivirgatus","wild","plaque reduction neutralization",1,"Tesh et al. 1969"
"89","Yellow_fever_virus","Aotus_trivirgatus","wild","Antibodies",0,"Seymour et al. 1983a"
"90","California_encephalitis_virus","Apodemus_agrarius","wild","Antibodies",0,"Mitchell et al. 1993"
"91","Dobrava-Belgrade_virus","Apodemus_agrarius","wild","Isolation",2,"Plyusnin 2002"
"92","Hantaan_virus","Apodemus_agrarius","wild","Isolation",2,"Acha & Szyfres 2003; Lee et al. 1978"
"93","Lymphocytic_choriomeningitis_virus","Apodemus_agrarius","wild","Antibodies",0,"Tagliapietra et al. 2009"
"94","Tick-borne_encephalitis_virus","Apodemus_agrarius","wild","Isolation",2,"Golovljova et al. 2004"
"95","Apoi_virus","Apodemus_argenteus","wild","Isolation",2,"Karabatsos 1995"
"96","Cowpox_virus","Apodemus_flavicollis","wild","Antibodies",0,"Acha & Szyfres 2003; Essbauer & Meyer 2007; Essbauer et al. 2009"
"97","Dobrava-Belgrade_virus","Apodemus_flavicollis","wild","Isolation",2,"Avsic-Zupanc et al. 1992"
"98","Ljungan_virus","Apodemus_flavicollis","wild","PCR",2,"Hauffe et al. 2010"
"99","Lymphocytic_choriomeningitis_virus","Apodemus_flavicollis","wild","Antibodies",0,"Tagliapietra et al. 2009"
"100","Murid_herpesvirus_1","Apodemus_flavicollis","wild","Isolation",2,"Mistrikova & Blaskovis 1985"
"101","Murid_herpesvirus_2","Apodemus_flavicollis","wild","PCR",2,"Ehlers et al. 2007"
"102","Murid_herpesvirus_4","Apodemus_flavicollis","wild","Isolation",2,"Blaskovic et al. 1980; Ehlers et al. 2007"
"103","Thiafora_virus","Apodemus_flavicollis","wild","Antibodies",0,"Woessner et al. 2000"
"104","Tick-borne_encephalitis_virus","Apodemus_flavicollis","wild","Isolation",2,"Acha & Szyfres 2003; Kozch et al. 1995"
"105","Lymphocytic_choriomeningitis_virus","Apodemus_mystacinus","wild","Antibodies",0,"Tagliapietra et al. 2009"
"106","Hantaan_virus","Apodemus_peninsulae","wild","Isolation",2,"Wang et al. 2000"
"107","Apoi_virus","Apodemus_speciosus","wild","Isolation",2,"Karabatsos 1995"
"108","Cowpox_virus","Apodemus_sylvaticus","wild","PCR",2,"Acha & Szyfres 2003; Chantrey et al. 1999"
"109","Ectromelia_virus","Apodemus_sylvaticus","wild","Antibodies",0,"Kaplan et al. 1980"
"110","Encephalomyocarditis_virus","Apodemus_sylvaticus","wild","Antibodies",0,"Kaplan et al. 1980"
"111","Eyach_virus","Apodemus_sylvaticus","wild","Isolation",2,"Chastel et al. 1985"
"112","Ljungan_virus","Apodemus_sylvaticus","wild","PCR",2,"Salisbury et al. 2014"
"113","Louping_ill_virus","Apodemus_sylvaticus","wild","Antibodies",0,"Gilbert et al. 2000"
"114","Lymphocytic_choriomeningitis_virus","Apodemus_sylvaticus","wild","PCR",2,"Ledesma et al. 2009"
"115","Murid_herpesvirus_1","Apodemus_sylvaticus","wild","PCR",2,"Mistrikova & Blaskovis 1985"
"116","Murid_herpesvirus_2","Apodemus_sylvaticus","wild","PCR",2,"Ehlers et al. 2007"
"117","Murid_herpesvirus_4","Apodemus_sylvaticus","wild","PCR",2,"Blasdell et al. 2003"
"118","Murine_norovirus_1","Apodemus_sylvaticus","wild","PCR",2,"Smith et al. 2012"
"119","Murine_pneumonia_virus","Apodemus_sylvaticus","wild","Antibodies",0,"Kaplan et al. 1980"
"120","Rabbit_hemorrhagic_disease_virus","Apodemus_sylvaticus","wild","PCR",2,"Merchan et al. 2011"
"121","Sendai_virus","Apodemus_sylvaticus","wild","Antibodies",0,"Kaplan et al. 1980"
"122","Theilovirus","Apodemus_sylvaticus","wild","Antibodies",0,"Kaplan et al. 1980"
"123","Thiafora_virus","Apodemus_sylvaticus","wild","Antibodies",0,"Woessner et al. 2000"
"124","Tick-borne_encephalitis_virus","Apodemus_sylvaticus","wild","Isolation",2,"Kozuch et al. 1995"
"125","Uukuniemi_virus","Apodemus_sylvaticus","wild","Antibodies",0,"Traavik et al. 1977"
"126","Tula_virus","Apodemus_uralensis","wild","antigen",0,"Heroldova et al. 2010"
"127","Influenza_A_virus","Arctocephalus_australis","wild","Antibodies",0,"Blanc et al. 2009"
"128","Dengue_virus","Artibeus_cinereus","wild","Antibodies",0,"Price 1978"
"129","Ilheus_virus","Artibeus_cinereus","wild","Antibodies",0,"Price et al. 1978"
"130","Rabies_virus","Artibeus_cinereus","wild","Antibodies",0,"Price & Everard 1977"
"131","Yellow_fever_virus","Artibeus_cinereus","wild","Antibodies",0,"Price 1978"
"132","Rabies_virus","Artibeus_fimbriatus","wild","Isolation",2,"Cunha et al. 2005"
"133","Dengue_virus","Artibeus_jamaicensis","wild","PCR",2,"Aguilar-Setien et al. 2008"
"134","Eastern_equine_encephalitis_virus","Artibeus_jamaicensis","wild","Antibodies",0,"Ubico & McLean 1995"
"135","Ilheus_virus","Artibeus_jamaicensis","wild","Antibodies",0,"Price et al. 1978"
"136","Marituba_virus","Artibeus_jamaicensis","wild","Isolation",2,"Calisher et al. 2006"
"137","Rabies_virus","Artibeus_jamaicensis","wild","Isolation",2,"Price & Everard 1977"
"138","Rio_Bravo_virus","Artibeus_jamaicensis","wild","Antibodies",0,"Ubico & McLean 1995"
"139","St._Louis_encephalitis_virus","Artibeus_jamaicensis","wild","Antibodies",0,"Ubico & McLean 1995"
"140","Tacaribe_virus","Artibeus_jamaicensis","wild","Isolation",2,"Abraham et al. 2009"
"141","Tamana_bat_virus","Artibeus_jamaicensis","wild","Antibodies",0,"Price 1978"
"142","Venezuelan_equine_encephalitis_virus","Artibeus_jamaicensis","wild","Antibodies",0,"Ubico & McLean 1995"
"143","Vesicular_stomatitis_Indiana_virus","Artibeus_jamaicensis","wild","Antibodies",0,"Ubico & McLean 1995"
"144","Vesicular_stomatitis_New_Jersey_virus","Artibeus_jamaicensis","wild","Antibodies",0,"Ubico & McLean 1995"
"145","Western_equine_encephalitis_virus","Artibeus_jamaicensis","wild","Antibodies",0,"Ubico & McLean 1995"
"146","Yellow_fever_virus","Artibeus_jamaicensis","wild","Antibodies",0,"Price 1978"
"147","Caraparu_virus","Artibeus_lituratus","wild","Antibodies",0,"Geevarghesse & Banerjee 1990"
"148","Dengue_virus","Artibeus_lituratus","wild","Antibodies",0,"Price 1978"
"149","Eastern_equine_encephalitis_virus","Artibeus_lituratus","wild","Antibodies",0,"Ubico & McLean et al. 1995"
"150","Guama_virus","Artibeus_lituratus","wild","Antibodies",0,"Price 1978"
"151","Ilheus_virus","Artibeus_lituratus","wild","Antibodies",0,"Price 1978"
"152","Itaporanga_virus","Artibeus_lituratus","wild","Antibodies",0,"Geevarghese & Banerjee  1990"
"153","Jurona_virus","Artibeus_lituratus","wild","Antibodies",0,"Geevarghese & Banerjee  1990"
"154","Marituba_virus","Artibeus_lituratus","wild","Isolation",2,"Calisher et al. 2006"
"155","Oriboca_virus","Artibeus_lituratus","wild","Antibodies",0,"Price 1978"
"156","Oropouche_virus","Artibeus_lituratus","wild","Antibodies",0,"Geevarghese & Banerjee 1990"
"157","Rabies_virus","Artibeus_lituratus","wild","Isolation",2,"Kobayashi et al. 2005"
"158","Rio_Bravo_virus","Artibeus_lituratus","wild","Antibodies",0,"Ubico & McLean 1995"
"159","St._Louis_encephalitis_virus","Artibeus_lituratus","wild","Antibodies",0,"Ubico & McLean 1995"
"160","Tacaribe_virus","Artibeus_lituratus","wild","Isolation",2,"Calisher et al. 2006"
"161","Venezuelan_equine_encephalitis_virus","Artibeus_lituratus","wild","Antibodies",0,"Seymour et al. 1978"
"162","Vesicular_stomatitis_Indiana_virus","Artibeus_lituratus","wild","Antibodies",0,"Ubico & McLean 1995"
"163","Western_equine_encephalitis_virus","Artibeus_lituratus","wild","Antibodies",0,"Ubico & McLean 1995"
"164","Yellow_fever_virus","Artibeus_lituratus","wild","Antibodies",0,"Price 1978"
"165","Rabies_virus","Artibeus_phaeotis","wild","Antibodies",0,"Salas-Rojas et al. 2004"
"166","Rio_Bravo_virus","Artibeus_phaeotis","wild","Antibodies",0,"Ubico and McLean 1995"
"167","St._Louis_encephalitis_virus","Artibeus_phaeotis","wild","Antibodies",0,"Ubico & McLean 1995"
"168","Venezuelan_equine_encephalitis_virus","Artibeus_phaeotis","wild","Isolation",2,"Calisher et al. 2006"
"169","Vesicular_stomatitis_Indiana_virus","Artibeus_phaeotis","wild","Antibodies",0,"Ubico & McLean 1995"
"170","Vesicular_stomatitis_New_Jersey_virus","Artibeus_phaeotis","wild","Antibodies",0,"Ubico & McLean 1995"
"171","Rabies_virus","Artibeus_jamaicensis","wild","Isolation",2,"Kobayashi et al. 2007"
"172","Rio_Bravo_virus","Artibeus_toltecus","wild","Antibodies",0,"Ubico and McLean 1995"
"173","Tacaribe_virus","Artibeus_toltecus","wild","Isolation",2,"Abraham et al. 2009"
"174","Ippy_virus","Arvicanthis_neumanni","wild","Isolation",2,"Meunier et al. 1985"
"175","Arumowot_virus","Arvicanthis_niloticus","wild","isolation",2,"Kemp et al. 1974"
"176","Bunyamwera_virus","Arvicanthis_niloticus","wild","Isolation",2,"Monath et al. 1972; Henderson et al. 1972"
"177","Ife_virus","Arvicanthis_niloticus","wild","Antibodies",0,"Ezefeika et al. 1988"
"178","Ippy_virus","Arvicanthis_niloticus","wild","Isolation",2,"Meunier et al. 1985"
"179","Lassa_virus","Arvicanthis_niloticus","wild","Antibodies",0,"Gonzalez et al. 2007"
"180","Qalyub_virus","Arvicanthis_niloticus","wild","Isolation",2,"Saluzzo et al. 1986"
"181","Rift_Valley_fever_virus","Arvicanthis_niloticus","wild","Antibodies",0,"Gora et al. 2000"
"182","Saboya_virus","Arvicanthis_niloticus","wild","Isolation",2,"Fontenille et al. 1994; Saluzzo et al. 1986; Grard et al. 2010"
"183","Uganda_S_virus","Arvicanthis_niloticus","wild","Isolation",2,"Kemp 1975; Kemp et al. 1974"
"184","West_Nile_virus","Arvicanthis_niloticus","wild","Isolation",2,"Hubalek & Halouzka 1999"
"185","Witwatersrand_virus","Arvicanthis_niloticus","wild","Isolation",2,"Monath et al. 1972"
"186","Omsk_hemorrhagic_fever_virus","Arvicola_amphibius","wild","Isolation",2,"Calisher et al. 2006"
"187","Tula_virus","Arvicola_amphibius","wild","PCR",2,"Schlegel et al. 2012"
"188","Cowpox_virus","Arvicola_scherman","wild","Antibodies",0,"Charbonnel et al. 2008"
"189","Lymphocytic_choriomeningitis_virus","Arvicola_scherman","wild","Antibodies",0,"Tagliapietra et al. 2009"
"190","Bhanja_virus","Atelerix_albiventris","wild","Antibodies",0,"Hubalek 2009"
"191","Chandipura_virus","Atelerix_albiventris","wild","Isolation",2,"Kemp 1975"
"192","Kotonkan_virus","Atelerix_albiventris","wild","Antibodies",0,"Kemp et al.1973"
"193","Semliki_Forest_virus","Atelerix_albiventris","wild","Isolation",2,"CDC ArboCat Report"
"194","Ateline_herpesvirus_1","Ateles_geoffroyi","captive","isolation",2,"Hull et al. 1972"
"195","Ateline_herpesvirus_2","Ateles_geoffroyi","wild","Isolation",2,"Melendez et al. 1992"
"196","St._Louis_encephalitis_virus","Ateles_paniscus","wild","Isolation",2,"Sabattini et al. 1965"
"197","Rabies_virus","Atilax_paludinosus","wild","PCR",2,"van Zyl et al. 2010"
"198","Bluetongue_virus","Axis_axis","wild","Antibodies",0,"Bhat et al. 1998"
"199","Epizootic_hemorrhagic_disease_virus","Axis_axis","domestic","Antibodies",0,"Waldrup et al. 1989"
"200","Foot-and-mouth_disease_virus","Axis_axis","domestic","Isolation",2,"Kar 1983"
"201","Amapari_virus","Baiomys_taylori","wild","Antibodies",0,"Milazzo et al. 2010"
"202","Bayou_virus","Baiomys_taylori","wild","Antibodies",0,"Holsomback et al. 2009"
"203","Vesicular_stomatitis_Indiana_virus","Baiomys_taylori","wild","plaque reduction neutralization",1,"Aguirre et al. 1992"
"204","Influenza_A_virus","Balaenoptera_acutorostrata","wild","Antibodies",0,"Ohishi et al. 2006"
"205","Vesicular_exanthema_of_swine_virus","Balaenoptera_borealis","wild","Antibodies",0,"Smith et al. 1978"
"206","Vesicular_exanthema_of_swine_virus","Balaenoptera_physalus","wild","Antibodies",0,"Smith et al. 1978"
"207","Hepatitis_E_virus","Bandicota_bengalensis","wild","Antibodies",0,"Arankalle et al. 2001"
"208","Lassa_virus","Bandicota_indica","wild","Antibodies",0,"Nitatpattana et al. 2000"
"209","Murid_herpesvirus_2","Bandicota_indica","wild","PCR",2,"Ehlers et al. 2007"
"210","Murid_herpesvirus_4","Bandicota_indica","wild","PCR",2,"Ehlers et al. 2007"
"211","Thailand_virus","Bandicota_indica","wild","Isolation",2,"Elwell et al. 1985"
"212","Lassa_virus","Bandicota_savilei","wild","Antibodies",0,"Nitatpattana et al. 2000"
"213","Thailand_virus","Bandicota_savilei","wild","Antibodies",0,"Pattamadilok et al. 2006"
"214","European_bat_lyssavirus_1","Barbastella_barbastellus","wild","PCR",2,"Muller unpublished in Muller et al. 2007"
"215","Tick-borne_encephalitis_virus","Barbastella_barbastellus","wild","Antibodies",0,"Geevarghese & Banerjee 1990"
"216","Vesicular_stomatitis_Indiana_virus","Bassaricyon_gabbii","wild","plaque reduction neutralization",1,"Tesh et al. 1969"
"217","Andes_virus","Bibimys_chacoensis","wild","Antibodies",0,"Chu et al. 2003"
"218","Bluetongue_virus","Bison_bison","wild","Antibodies",0,"Vestweber et al. 1991"
"219","Bovine_respiratory_syncytial_virus","Bison_bison","wild","Antibodies",0,"Taylor et al. 1997"
"220","Bovine_viral_diarrhea_virus_1","Bison_bison","wild","Isolation",2,"Deregt et al. 2005"
"221","California_encephalitis_virus","Bison_bison","domestic","Antibodies",0,"Walters et al. 1999"
"222","Epizootic_hemorrhagic_disease_virus","Bison_bison","wild","Antibodies",0,"Nol et al. 2010"
"223","Ovine_herpesvirus_2","Bison_bison","domestic","PCR",2,"Schultheiss et al. 2000"
"224","Sindbis_virus","Bison_bison","wild","Antibodies",0,"Walters et al. 1999"
"225","Bovine_herpesvirus_1","Bison_bonasus","wild","PCR, Isolation",2,"Borchers 2002"
"226","Bovine_viral_diarrhea_virus_1","Bison_bonasus","wild","PCR",2,"Becher et al. 1999"
"227","Foot-and-mouth_disease_virus","Blastocerus_dichotomus","wild","Antibodies",0,"Araujo et al. 2010 in Weaver et al. 2013"
"228","Foot-and-mouth_disease_virus","Bos_frontalis","domestic","Isolation",2,"Choudhury et al. 1992"
"229","Ovine_herpesvirus_2","Bos_frontalis","wild","Isolation",2,"Tyler et al.1993"
"230","Rinderpest_virus","Bos_frontalis","wild","Isolation",2,"Chamberlain et al. 1993"
"231","Bovine_immunodeficiency_virus","Bos_javanicus","domestic","Antibodies",0,"Patil et al. 2003"
"232","Ovine_herpesvirus_2","Bos_javanicus","wild","PCR",2,"Wiyono et al. 1994"
"233","Bovine_herpesvirus_1","Bos_grunniens","wild","VNT, ELISA",1,"Bandyopadhyay et al. 2009"
"234","Bovine_papillomavirus_1","Bos_grunniens","domestic","PCR",2,"Bam et al. 2012"
"235","Bovine_viral_diarrhea_virus_1","Bos_grunniens","domestic","Isolation",2,"Misrah et al. 2008"
"236","Foot-and-mouth_disease_virus","Bos_grunniens","domestic","Isolation",2,"Prasad et al. 1978"
"237","Adelaide_River_virus","Bos_taurus","domestic","Isolation",2,"Gard et al. 1984"
"238","Akabane_virus","Bos_taurus","domestic","Antibodies",0,"Kono et al. 2008"
"239","Alcelaphine_herpesvirus_1","Bos_taurus","domestic","PCR",2,"Tham 1997"
"240","Banna_virus","Bos_taurus","domestic","Isolation",2,"Tao et al. 2005"
"241","Berrimah_virus","Bos_taurus","domestic","Isolation",2,"Gard et al. 1983"
"242","Bluetongue_virus","Bos_taurus","domestic","PCR",2,"Polci et al. 2007"
"243","Border_disease_virus","Bos_taurus","domestic","PCR",2,"McFadden et al. 2012"
"244","Borna_disease_virus","Bos_taurus","domestic","PCR",2,"Dauphin et al. 2001"
"245","Bovine_adenovirus_A","Bos_taurus","domestic","Antibodies",0,"Rossi et al. 1973"
"246","Bovine_adenovirus_B","Bos_taurus","domestic","Isolation",2,"Duman et al. 2009"
"247","Bovine_adenovirus_C","Bos_taurus","domestic","Isolation",2,"Adair et al. 1996"
"248","Bovine_adenovirus_D","Bos_taurus","domestic","Isolation",2,"Coria et al. 1978"
"249","Bovine_adenovirus_E","Bos_taurus","domestic","Isolation",2,"Graham et al. 2011"
"250","Bovine_astrovirus","Bos_taurus","domestic","Isolation",2,"Woode et al. 1985"
"251","Bovine_coronavirus","Bos_taurus","domestic","PCR",2,"Liu et al. 2006"
"252","Bovine_enteric_calicivirus_strain_NB","Bos_taurus","domestic","Isolation",2,"Smiley et al. 2002"
"253","Bovine_ephemeral_fever_virus","Bos_taurus","domestic","Isolation",2,"Stram et al. 2005"
"254","Bovine_foamy_virus","Bos_taurus","domestic","Isolation",2,"Materniak et al. 2006"
"255","Bovine_herpesvirus_1","Bos_taurus","domestic","PCR",2,"Ruiz-Saenz et al. 2012"
"256","Bovine_herpesvirus_2","Bos_taurus","domestic","Isolation",2,"Hedger et al. 1977"
"257","Bovine_herpesvirus_4","Bos_taurus","domestic","PCR",2,"Verna et al. 2012"
"258","Bovine_herpesvirus_5","Bos_taurus","domestic","Isolation",2,"Maidana et al. 2011"
"259","Bovine_leukemia_virus","Bos_taurus","domestic","PCR",2,"Sledge et al. 2009"
"260","Bovine_norovirus-CH126","Bos_taurus","domestic","PCR",2,"Mauroy et al. 2009"
"261","Bovine_norovirus-Jena","Bos_taurus","domestic","PCR",2,"Mauroy et al. 2009"
"262","Bovine_papillomavirus_1","Bos_taurus","domestic","PCR",2,"Silva et al. 2010"
"263","Bovine_papillomavirus_3","Bos_taurus","domestic","Isolation",2,"Campo et al. 1980"
"264","Bovine_papillomavirus_5","Bos_taurus","domestic","PCR",2,"Lindholm et al. 1984"
"265","Bovine_papular_stomatitis_virus","Bos_taurus","domestic","PCR",2,"de Sant'Ana et al. 2012"
"266","Bovine_parainfluenza_virus_3","Bos_taurus","domestic","Isolation",2,"Zhu et al. 2011"
"267","Bovine_parvovirus","Bos_taurus","domestic","Isolation",2,"Abinanti et al. 1961"
"268","Bovine_polyomavirus","Bos_taurus","domestic","Isolation",2,"Coackley et al. 1980"
"269","Bovine_respiratory_syncytial_virus","Bos_taurus","domestic","PCR",2,"Bidokhti et al. 2012"
"270","Bovine_torovirus","Bos_taurus","domestic","PCR",2,"Hoet et al. 2003"
"271","Bovine_viral_diarrhea_virus_1","Bos_taurus","domestic","PCR",2,"Pellerin et al. 1994"
"272","Bovine_viral_diarrhea_virus_2","Bos_taurus","domestic","PCR",2,"Zhu et al. 2009"
