"","vVirusNameCorrected","hHostNameFinal","WildDomInReference","DetectionMethod","DetectionQuality","Reference"
"1","Andes_virus","Abrothrix_longipilis","wild","PCR",2,"Medina et al. 2009"
"2","Andes_virus","Abrothrix_olivaceus","wild","Antibodies",0,"Sosa-Estani et al. 2002"
"3","Andes_virus","Abrothrix_sanborni","wild","Antibodies",0,"Padula et al. 2004"
"4","African_horse_sickness_virus","Acinonyx_jubatus","wild","bcELISA",0,"Alexander et al. 1995"
"5","Bluetongue_virus","Acinonyx_jubatus","wild","Antibodies",0,"Alexander et al. 1994"
"6","Feline_astrovirus","Acinonyx_jubatus","wild","PCR",2,"Atkins at al. 2009"
"7","Feline_calicivirus","Acinonyx_jubatus","wild","Antibodies",0,"Munson et al. 2004"
"8","Feline_coronavirus","Acinonyx_jubatus","wild","Antibodies",0,"Hofmann-Lehmann et al. 1996"
"9","Rabies_virus","Acinonyx_jubatus","wild","Antibodies",0,"Thalwitzer et al. 2010"
"10","Akabane_virus","Aepyceros_melampus","wild","Antibodies",0,"Davies et al. 1985"
"11","Alcelaphine_herpesvirus_2","Aepyceros_melampus","wild","Antibodies",0,"Reid et al. 1973"
"12","Bluetongue_virus","Aepyceros_melampus","wild","Antibodies",0,"Karesh et al. 1997"
"13","Bovine_viral_diarrhea_virus_1","Aepyceros_melampus","wild","SNT",1,"Hamblin and Hedger 1979"
"14","Crimean-Congo_hemorrhagic_fever_virus","Aepyceros_melampus","wild","Antibodies",0,"Shepherd et al. 1987"
"15","Foot-and-mouth_disease_virus","Aepyceros_melampus","wild","Antibodies",0,"Hamblin et al. 1990"
"16","Lumpy_skin_disease_virus","Aepyceros_melampus","wild","Antibodies",0,"Hedger and Hamblin 1983"
"17","Rift_Valley_fever_virus","Aepyceros_melampus","wild","Antibodies",0,"Anderson & Rowe 1998; Capobianco Dondona 2016"
"18","Rinderpest_virus","Aepyceros_melampus","wild","Antibodies",0,"Rutebarika et al. 2005"
"19","Witwatersrand_virus","Aethomys_kaiseri","wild","Antibodies",0,"Henderson et al. 1972"
"20","Crimean-Congo_hemorrhagic_fever_virus","Micaelamys_namaquensis","wild","Antibodies",0,"Shepherd et al. 1987"
"21","Rift_Valley_fever_virus","Micaelamys_namaquensis","wild","Antibodies",0,"Pretorius et al. 1997"
"22","Andes_virus","Akodon_azarae","wild","IFA",0,"Chu et al. 2003"
"23","Junin_virus","Akodon_azarae","wild","Isolation",2,"Gonzalez et al. 2007"
"24","Pixuna_virus","Akodon_azarae",NA,"Isolation",2,"Pisano et al. 2014"
"25","Andes_virus","Akodon_montensis","wild","PCR",2,"Chu et al. 2003"
"26","St._Louis_encephalitis_virus","Akodon_montensis","wild","Isolation",2,NA
"28","Laguna_Negra_virus","Akodon_simulator","wild","PCR",2,"Levis et al. 2004"
"29","Andes_virus","Akodon_varius","wild","Antibodies",0,"Sosa-Estani et al. 2002"
"30","Akabane_virus","Alcelaphus_buselaphus","wild","Antibodies",0,"Davies et al. 1985"
"31","Alcelaphine_herpesvirus_2","Alcelaphus_buselaphus","wild","Isolation",2,"Reid et al. 1973"
"32","Bluetongue_virus","Alcelaphus_buselaphus","wild","Antibodies",0,"Hamblin et al."
"33","Bovine_viral_diarrhea_virus_1","Alcelaphus_buselaphus","wild","SNT",1,"Hamblin & Hedger 1979"
"34","Crimean-Congo_hemorrhagic_fever_virus","Alcelaphus_buselaphus","wild","Antibodies",0,"Shepherd et al. 1987"
