Pan,MSW05_Order,MSW05_Genus,MSW05_Species,AnnualBP,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X9.1_GestationLen_d,X12.1_HabitatBreadth,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n.km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,X5.5_AdultBodyMass_g_EXT,X5.6_NeonateBodyMass_g_EXT,X26.1_GR_Area_km2,X26.2_GR_MaxLat_dd,X26.3_GR_MinLat_dd,X26.4_GR_MidRangeLat_dd,X26.5_GR_MaxLong_dd,X26.6_GR_MinLong_dd,X26.7_GR_MidRangeLong_dd,X27.1_HuPopDen_Min_n.km2,X27.2_HuPopDen_Mean_n.km2,X27.3_HuPopDen_5p_n.km2,X27.4_HuPopDen_Change,X28.1_Precip_Mean_mm,X28.2_Temp_Mean_01degC,X30.1_AET_Mean_mm,X30.2_PET_Mean_mm,Log10.mass_specific_production.,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,ForStrat.Value,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,BodyMass.Value,torp,mig,IUCN
Eidolon_helvum,Chiroptera,Eidolon,helvum,1,1,254.61,120.5,182.58,NA,NA,NA,NA,2,164.36,1,NA,1.08,1,261.99,3.877017396,NA,NA,10.81977828,NA,NA,2,1,60.83,4.500476115,NA,NA,NA,16.75691373,18.49,-34.83,-8.17,51.41,-17.53,16.93,0,3.563882964,1,0.13,84.6,233.78,864.91,1524.57,-0.417919759,0,0,0,0,0,0,100,0,0,0,Ar,1,1,1,253.31,1,3,NT
Epomophorus_gambianus,Chiroptera,Epomophorus,gambianus,2,NA,134.59,85.27,159.41,NA,NA,NA,NA,2,156.43,1,NA,0.98,2,NA,2.298577072,61.32,NA,2.772588722,NA,NA,2,1,59.99,NA,NA,NA,NA,15.07517589,15.64,3.95,9.79,39.47,-17.53,10.97,1,4.233526626,4,0.12,106.13,257.58,954.23,1569.57,NA,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,128.87,1,1,LC
Epomops_franqueti,Chiroptera,Epomops,franqueti,2,1,118.99,89.44,135.03,NA,NA,NA,NA,NA,161.77,1,NA,1,2,NA,2.995732274,NA,NA,NA,NA,1.5,2,NA,NA,4.248495242,NA,NA,NA,15.1823352,9.23,-12.19,-1.48,34.79,-5.27,14.76,0,3.83535792,1,0.12,137.29,242.66,1312.49,1561.31,0.070617571,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,118.93,NA,NA,NA
Hypsignathus_monstrosus,Chiroptera,Hypsignathus,monstrosus,2,1,336.97,127.5,226.48,NA,NA,NA,NA,1,125.14,1,NA,1.4,2,NA,3.671224519,150.17,NA,1.481604541,227.99,NA,2,1,NA,5.099378504,NA,NA,NA,15.61225144,13.93,-11.35,1.28,36.29,-16.82,9.73,0,3.775744987,1,0.12,134.45,246.55,1210.09,1561.38,0.134198739,0,10,0,0,0,0,90,0,0,0,Ar,1,0,0,335.08,1,1,LC
Micropteropus_pusillus,Chiroptera,Micropteropus,pusillus,2,NA,25.38,51.98,76.38,NA,349.79,NA,NA,1,161.77,1,NA,0.99,2,NA,NA,NA,NA,NA,202.08,1.5,2,1,55.18,2.995732274,NA,NA,NA,15.89466498,13.97,-12.82,0.57,38.73,-16.82,10.95,0,3.726175239,1,0.12,124.59,245.19,1153.38,1557.21,0.193203568,0,0,0,0,0,0,90,10,0,0,Ar,1,0,0,26.57,NA,NA,NA
Miniopterus_inflatus,Chiroptera,Miniopterus,inflatus,NA,NA,14.9,48.09,NA,NA,NA,NA,NA,1,91.24,1,NA,0.99,NA,NA,NA,NA,NA,NA,742.46,NA,2,3,NA,NA,NA,NA,NA,14.75703465,9.38,-20.75,-5.68,39.26,9.37,24.32,0,3.89324785,3,0.15,84.1,218.37,943.84,1492.35,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,14.2,NA,NA,NA
Miniopterus_schreibersii,Chiroptera,Miniopterus,schreibersii,1,NA,11.46,45.99,NA,NA,723.66,NA,NA,1,182.5,1,NA,0.99,1,168,1.050821625,26.5,NA,8.303999971,666.44,NA,2,3,60.19,2.525728644,NA,NA,NA,17.71607792,50.89,-39.13,5.87,162.39,-17.53,72.43,0,4.559963593,0,0.1,74.56,198.74,679.41,1335.68,0.03336059,100,0,0,0,0,0,0,0,0,0,A,1,0,0,11.46,3,2,NT
Mops_condylurus,Chiroptera,Mops,condylurus,NA,NA,26.59,47.22,NA,0,NA,NA,NA,1,88.64,1,NA,1,2,NA,2.083184528,NA,NA,4.094344562,285.63,NA,2,3,49.99,NA,NA,NA,NA,16.60355789,18.08,-29.64,-5.77,51.41,-17.53,16.93,0,3.581015808,1,0.13,92.42,243.6,922.06,1564.21,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,28.37,NA,NA,NA
Myonycteris_torquata,Chiroptera,Myonycteris,torquata,2,1,44.92,60.94,99.4,NA,NA,NA,NA,NA,NA,1,NA,1,2,NA,2.397895273,30.03,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,15.41372333,10.97,-11.07,-0.04,31.3,-10.88,10.21,0,3.604682295,1,0.12,139.14,244.29,1274.45,1551.97,NA,0,0,0,0,0,0,80,20,0,0,Ar,1,0,0,42.23,NA,NA,NA
Rhinolophus_eloquens,Chiroptera,Rhinolophus,eloquens,NA,NA,19.15,57,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,13.23736343,6.38,-6.47,-0.04,43.6,28.75,36.18,1,4.530985288,4,0.11,85.48,224.68,1124.83,1579.27,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,19.05,NA,NA,NA
Rousettus_aegyptiacus,Chiroptera,Rousettus,aegyptiacus,2,1,134,93.2,167.37,NA,NA,122.64,126,3,123.39,1,NA,1.07,2,274.8,2.951257783,40.04,NA,6.907755279,315.68,NA,2,1,105,4.318820559,NA,NA,NA,15.61987209,37.36,-34.83,1.26,66.84,-17.53,24.65,0,4.335458999,1,0.13,85.78,226.26,828.48,1461.38,0.078948912,0,0,0,0,0,0,60,40,0,0,Ar,1,0,0,132.24,1,2,LC
Rousettus_amplexicaudatus,Chiroptera,Rousettus,amplexicaudatus,2,NA,74.37,76.88,107.63,NA,304.16,102.5,91.5,1,101.38,1,NA,0.99,2,NA,2.48490665,NA,NA,6.715383386,258.65,NA,2,1,86.16,NA,NA,NA,NA,14.75864033,19.57,-10.94,4.31,162.39,95.18,128.79,0,4.812672041,4,0.12,228.98,242.36,1589.95,1732.99,NA,0,0,0,0,0,0,60,40,0,0,Ar,1,0,0,82.47,NA,NA,NA
Cynopterus_brachyotis,Chiroptera,Cynopterus,brachyotis,NA,NA,33.87,64.21,NA,NA,NA,47.49,37.4,3,117.06,1,NA,0.99,2,96,1.824549292,NA,NA,NA,251.71,NA,2,1,48.99,NA,NA,NA,NA,14.61321146,27.65,-4.18,11.73,126.6,74.37,100.48,0,5.254940027,4,0.12,195.98,244.45,1328.22,1611.42,NA,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,31.15,1,1,LC
Cynopterus_sphinx,Chiroptera,Cynopterus,sphinx,2,NA,44.71,71,98.99,0,319.37,NA,NA,2,120,1,NA,1.5,2,NA,2.397895273,NA,NA,1.386294361,312.99,1,2,1,32.49,3.218875825,NA,NA,NA,15.54691102,33.2,-5.94,13.63,119.33,67.57,93.45,1,5.494541829,10,0.09,138.22,233.8,1018.32,1479.68,0.224656594,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,43.66,2,1,LC
Emballonura_alecto,Chiroptera,Emballonura,alecto,NA,1,5.25,45.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,13.84911291,18.65,-8.03,5.3,131.74,107.96,119.85,1,4.615120517,4,0.13,239.99,241.82,1651.05,1736.94,NA,90,0,0,0,0,0,10,0,0,0,A,0,1,1,5.25,NA,NA,NA
Eonycteris_spelaea,Chiroptera,Eonycteris,spelaea,NA,NA,58.7,69,123.83,NA,NA,47.98,51.6,2,152.18,1,NA,1,2,60,2.681021529,NA,NA,8.006367568,357.41,NA,2,2,59.95,NA,NA,NA,NA,15.17192139,30.46,-10.37,10.04,128.9,74.22,101.56,1,5.100780644,5,0.1,184.62,225.74,1270.52,1539.33,NA,0,0,0,0,0,0,0,100,0,0,Ar,1,0,0,58.1,1,1,LC
Epomops_buettikoferi,Chiroptera,Epomops,buettikoferi,NA,NA,135.67,90.16,NA,NA,365,NA,NA,1,139.92,1,NA,0.98,2,NA,3.145444547,NA,NA,0.693147181,275.89,NA,2,1,55.65,3.855664272,NA,NA,NA,13.08073931,10.59,4.35,7.47,9.69,-13.29,-1.79,3,4.46383701,10,0.08,164.99,256.77,1242.61,1569.6,-0.165734036,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,133.84,NA,NA,NA
Haplonycteris_fischeri,Chiroptera,Haplonycteris,fischeri,NA,NA,18.25,50.56,NA,NA,410.62,NA,NA,3,174.73,1,NA,1,1,120,1.00795792,34.41,NA,NA,192.91,NA,2,1,76.04,NA,NA,NA,NA,12.39830856,18.65,5.55,12.1,126.6,117.17,121.88,19,5.373888553,29,0.11,202.1,241.6,1470.69,1729.38,NA,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,17.96,NA,NA,NA
Hipposideros_armiger,Chiroptera,Hipposideros,armiger,NA,NA,49.99,89.49,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,15.3119741,33.01,1.26,17.13,122.13,77.88,100.01,1,5.350672597,9,0.08,143.35,185.89,1069.98,1300.83,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,53,NA,NA,NA
Hipposideros_caffer,Chiroptera,Hipposideros,caffer,NA,NA,9.46,46.5,54.99,NA,730,NA,NA,1,139.92,1,NA,0.99,1,NA,1.026041596,14.89,NA,NA,581.78,NA,2,3,73.48,NA,NA,NA,NA,16.4218764,35.92,-32.97,1.47,52.22,-17.53,17.34,0,3.710396298,1,0.14,88.43,234.64,906.32,1532.23,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,9.45,NA,NA,NA
Hipposideros_cineraceus,Chiroptera,Hipposideros,cineraceus,NA,NA,3.84,34.92,NA,NA,NA,NA,NA,1,NA,1,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,14.4896206,32.47,-7.01,12.73,122,70.81,96.41,1,5.122713198,9,0.09,167.22,228.29,1146.79,1481.11,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,4.72,NA,NA,NA
Hipposideros_commersoni,Chiroptera,Hipposideros,commersoni,NA,1,89.99,95.99,127.5,NA,882.08,NA,NA,1,150.34,1,NA,0.99,1,NA,3.33220451,NA,NA,2.995732274,742.46,NA,2,3,151.03,NA,NA,NA,NA,16.68907132,17.49,-26.57,-4.54,50.48,-16.82,16.82,0,3.481547734,1,0.13,91.07,241.05,913.23,1553.76,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,99.09,NA,NA,NA
Hipposideros_diadema,Chiroptera,Hipposideros,diadema,NA,NA,46.9,88.69,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,14.98891638,18.65,-18.9,-0.12,161.39,93.45,127.42,0,4.79032107,2,0.12,221.44,243.75,1532.13,1714.7,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,43.76,NA,NA,NA
Hipposideros_larvatus,Chiroptera,Hipposideros,larvatus,NA,NA,19.95,59.99,NA,NA,NA,NA,NA,1,NA,1,NA,0.98,NA,NA,1.32175584,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,15.14671777,27.47,-10.37,8.55,127.3,87.94,107.62,1,5.186771092,9,0.09,176.61,229.17,1257.98,1511.2,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,19.85,NA,NA,NA
Hipposideros_pomona,Chiroptera,Hipposideros,pomona,1,NA,6.2,40.5,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,15.19773539,28.82,4.16,16.49,121.79,75.45,98.62,1,5.337874562,9,0.08,141.93,213.41,1046.44,1402.51,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,6.2,NA,NA,NA
Lissonycteris_angolensis,Chiroptera,Lissonycteris,angolensis,NA,NA,68.31,73.08,105.16,NA,NA,NA,NA,2,121.66,1,NA,0.99,2,NA,NA,NA,NA,3.33220451,NA,1,2,1,NA,NA,NA,NA,NA,15.2022233,12.96,-21.07,-4.05,40.37,-15.6,12.38,0,4.040767961,2,0.13,124.24,240.3,1120.33,1546.07,NA,0,0,0,0,0,0,60,40,0,0,Ar,1,0,0,68.31,NA,NA,NA
Macroglossus_minimus,Chiroptera,Macroglossus,minimus,NA,NA,16.3,40.23,68.09,NA,212.91,22.32,16.35,2,125.14,1,NA,0.99,3,NA,1.337629189,26.28,NA,1.098612289,NA,1,2,1,65,NA,NA,NA,NA,14.9243881,18.65,-21.21,-1.28,162.39,95.18,128.79,0,4.672922288,0,0.12,194.34,248.02,1397.33,1726.13,NA,0,0,0,0,0,0,20,80,0,0,Ar,1,0,0,16.37,NA,NA,NA
Miniopterus_australis,Chiroptera,Miniopterus,australis,NA,NA,7.4,40.5,NA,NA,NA,NA,NA,1,132.74,1,NA,0.99,1,NA,NA,NA,NA,8.496990484,413.84,NA,2,3,NA,NA,NA,NA,NA,14.23188368,18.65,-32.12,-6.73,169.9,-176.21,-3.15,0,4.785239208,0,0.12,206.96,228.09,1402.71,1661.07,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,6.15,NA,NA,NA
Miniopterus_pusillus,Chiroptera,Miniopterus,pusillus,NA,NA,8.95,41.99,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,11.90326089,28.19,-10.37,8.91,130.87,74.83,102.85,5,5.69957363,17,0.08,154.37,233.56,1247.21,1605.38,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,8.61,NA,NA,NA
Miniopterus_tristis,Chiroptera,Miniopterus,tristis,NA,NA,15.17,51,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,13.35815894,18.65,-10.28,4.18,150.05,118.75,134.4,1,4.905867196,5,0.1,240.58,224.65,1618.07,1746.05,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,15.75,NA,NA,NA
Myotis_chinensis,Chiroptera,Myotis,chinensis,NA,NA,41.99,65,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,14.00564233,28.57,17.35,22.96,119.95,97.61,108.78,1,5.490919233,46,0.06,118.99,156.31,1046.22,1163.47,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,42,NA,NA,NA
Myotis_daubentonii,Chiroptera,Myotis,daubentonii,NA,NA,7.63,36.59,44.4,NA,NA,NA,NA,2,55.14,1,NA,1.21,1,336,0.693147181,29.19,NA,NA,371.23,NA,2,3,35.33,1.702928256,NA,NA,NA,16.51182134,63.01,26.73,44.87,145.82,-10.47,67.67,0,4.278608675,0,0.00965,46.1,21.71,426.22,515.06,-0.060166823,100,0,0,0,0,0,0,0,0,0,A,1,0,0,7.63,3,2,LC
Myotis_davidii,Chiroptera,Myotis,davidii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,7.74,NA,NA,NA
Myotis_fimbriatus,Chiroptera,Myotis,fimbriatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.52019885,26.8,22.25,24.53,118.38,113.73,116.06,83,5.906913777,109,0.07,114.1,172.79,1135.7,1187.92,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,7.74,NA,NA,NA
Nanonycteris_veldkampii,Chiroptera,Nanonycteris,veldkampii,NA,NA,21.89,48,NA,NA,NA,NA,NA,NA,NA,1,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,14.1437172,10.81,3.52,7.16,19.11,-12.49,3.3,3,4.486274031,8,0.11,140.81,259.24,1164.08,1580.71,NA,0,0,0,0,0,0,0,100,0,0,Ar,1,0,0,21.89,NA,NA,NA
Nycteris_hispida,Chiroptera,Nycteris,hispida,NA,NA,7.98,38.99,NA,NA,NA,NA,NA,NA,91.24,1,NA,0.99,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,16.45860772,15.84,-28.63,-6.39,51.41,-17.53,16.93,0,3.64805746,1,0.13,98.96,241.03,975.18,1564.52,NA,80,10,10,0,0,0,0,0,0,0,A,1,0,0,8.63,NA,NA,NA
Pipistrellus_javanicus,Chiroptera,Pipistrellus,javanicus,NA,NA,4.92,32.72,NA,NA,NA,NA,NA,NA,71.48,1,NA,2.29,NA,NA,-0.020202707,23.6,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,15.3204902,35.82,-10.37,12.72,127.3,68.31,97.81,1,5.410127042,6,0.1,147.9,214.91,1053.77,1451.96,NA,100,0,0,0,0,0,0,0,0,0,A,1,0,0,5.29,NA,NA,NA
Pipistrellus_pipistrellus,Chiroptera,Pipistrellus,pipistrellus,1,NA,5.3,31.46,39.98,4.8,NA,NA,NA,1,44,1,NA,1.37,1,200.4,0.246860078,20.64,NA,8.01301211,248.48,NA,2,3,33.44,1.358409158,NA,NA,NA,16.0342128,61.5,25.38,43.44,97.96,-10.47,43.74,0,4.62575682,5,0.03,48,81.94,424.73,709.6,0.002394299,100,0,0,0,0,0,0,0,0,0,A,1,0,0,5.69,3,1,LC
Ptenochirus_jagori,Chiroptera,Ptenochirus,jagori,NA,NA,79.18,84.34,NA,NA,243.33,NA,NA,1,125.14,1,NA,1,2,96,2.856470206,NA,NA,NA,251.71,5.5,2,1,89.99,NA,NA,NA,NA,12.42408763,19,5.01,12,126.6,119.73,123.16,19,5.465525286,32,0.09,199.19,241.88,1471.18,1731.81,NA,0,0,0,0,0,0,100,0,0,0,Ar,1,0,0,77.25,NA,NA,NA
