origin,host_class,host_order,host_family,host_genus,host_species,virus_genus
HP3,Mammalia,Chiroptera,Phyllostomidae,Micronycteris,Micronycteris megalotis,Lyssavirus
HP3,Mammalia,Chiroptera,Molossidae,Molossops,Molossops neglectus,Lyssavirus
HP3,Mammalia,Chiroptera,Molossidae,Molossus,Molossus molossus,Lyssavirus
HP3,Mammalia,Chiroptera,Molossidae,Molossus,Molossus rufus,Lyssavirus
HP3,Mammalia,Chiroptera,Mormoopidae,Mormoops,Mormoops megalophylla,Lyssavirus
HP3,Mammalia,Rodentia,Muridae,Mus,Mus musculus,Lyssavirus
HP3,Mammalia,Rodentia,Myocastoridae,Myocastor,Myocastor coypus,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis albescens,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis austroriparius,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis californicus,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis chiloensis,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis evotis,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis grisescens,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis keenii,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis leibii,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis levis,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis nigricans,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis riparius,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis septentrionalis,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis thysanodes,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis velifer,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis volans,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis yumanensis,Lyssavirus
HP3,Mammalia,Rodentia,Cricetidae,Neotoma,Neotoma floridana,Lyssavirus
HP3,Mammalia,Carnivora,Canidae,Nyctereutes,Nyctereutes procyonoides,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Nycticeius,Nycticeius humeralis,Lyssavirus
HP3,Mammalia,Chiroptera,Molossidae,Nyctinomops,Nyctinomops laticaudatus,Lyssavirus
HP3,Mammalia,Chiroptera,Molossidae,Nyctinomops,Nyctinomops macrotis,Lyssavirus
HP3,Mammalia,Carnivora,Canidae,Otocyon,Otocyon megalotis,Lyssavirus
HP3,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,Lyssavirus
HP3,Mammalia,Carnivora,Felidae,Panthera,Panthera pardus,Lyssavirus
HP3,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Parastrellus,Pipistrellus hesperus,Lyssavirus
HP3,Mammalia,Chiroptera,Vespertilionidae,Perimyotis,Pipistrellus subflavus,Lyssavirus
HP3,Mammalia,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus lineatus,Lyssavirus
HP3,Mammalia,Carnivora,Procyonidae,Procyon,Procyon lotor,Lyssavirus
HP3,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristata,Lyssavirus
HP3,Mammalia,Carnivora,Canidae,Lycalopex,Lycalopex vetulus,Lyssavirus
HP3,Mammalia,Chiroptera,Mormoopidae,Pteronotus,Pteronotus davyi,Lyssavirus
HP3,Mammalia,Chiroptera,Mormoopidae,Pteronotus,Pteronotus parnellii,Lyssavirus
HP3,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer tarandus,Lyssavirus
HP3,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus pusillus,Lyssavirus
HP3,Mammalia,Chiroptera,Pteropodidae,Rousettus,Rousettus leschenaultii,Lyssavirus
HP3,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,Lyssavirus
HP3,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus niger,Lyssavirus
HP3,Mammalia,Rodentia,Sciuridae,Ictidomys,Ictidomys tridecemlineatus,Lyssavirus
HP3,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus undulatus,Lyssavirus
HP3,Mammalia,Rodentia,Sciuridae,Otospermophilus,Otospermophilus variegatus,Lyssavirus
HP3,Mammalia,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,Lyssavirus
HP3,Mammalia,Carnivora,Herpestidae,Suricata,Suricata suricatta,Lyssavirus
HP3,Mammalia,Chiroptera,Molossidae,Tadarida,Tadarida brasiliensis,Lyssavirus
HP3,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,Lyssavirus
HP3,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,Lyssavirus
HP3,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,Lyssavirus
HP3,Mammalia,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,Lyssavirus
HP3,Mammalia,Carnivora,Canidae,Vulpes,Vulpes corsac,Lyssavirus
HP3,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox,Lyssavirus
HP3,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,Lyssavirus
HP3,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Mamastrovirus
HP3,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,Mamastrovirus
HP3,Mammalia,Carnivora,Felidae,Felis,Felis catus,Mamastrovirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Mamastrovirus
HP3,Mammalia,Carnivora,Mustelidae,Neovison,Neovison vison,Mamastrovirus
HP3,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,Mamastrovirus
HP3,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Mamastrovirus
HP3,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus aethiops,Marburgvirus
HP3,Mammalia,Chiroptera,Pteropodidae,Epomops,Epomops franqueti,Marburgvirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Marburgvirus
HP3,Mammalia,Chiroptera,Pteropodidae,Hypsignathus,Hypsignathus monstrosus,Marburgvirus
HP3,Mammalia,Chiroptera,Miniopteridae,Miniopterus,Miniopterus inflatus,Marburgvirus
HP3,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,Rhinolophus eloquens,Marburgvirus
HP3,Mammalia,Chiroptera,Pteropodidae,Rousettus,Rousettus aegyptiacus,Marburgvirus
HP3,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Mastadenovirus
HP3,Mammalia,Artiodactyla,Cervidae,Dama,Dama dama,Mastadenovirus
HP3,Mammalia,Artiodactyla,Bovidae,Oryx,Oryx leucoryx,Mastadenovirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Mastadenovirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis latrans,Mastadenovirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis simensis,Mastadenovirus
HP3,Mammalia,Carnivora,Mustelidae,Martes,Martes pennanti,Mastadenovirus
HP3,Mammalia,Carnivora,Odobenidae,Odobenus,Odobenus rosmarus,Mastadenovirus
HP3,Mammalia,Carnivora,Canidae,Urocyon,Urocyon littoralis,Mastadenovirus
HP3,Mammalia,Carnivora,Ursidae,Ursus,Ursus americanus,Mastadenovirus
HP3,Mammalia,Carnivora,Ursidae,Ursus,Ursus maritimus,Mastadenovirus
HP3,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox,Mastadenovirus
HP3,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,Mastadenovirus
HP3,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,Mastadenovirus
HP3,Mammalia,Artiodactyla,Bovidae,Capra,Capra ibex,Mastadenovirus
HP3,Mammalia,Rodentia,Caviidae,Cavia,Cavia porcellus,Mastadenovirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Mastadenovirus
HP3,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,Mastadenovirus
HP3,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,Mastadenovirus
HP3,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,Mastadenovirus
HP3,Mammalia,Primates,Hominidae,Pan,Pan paniscus,Mastadenovirus
HP3,Mammalia,Rodentia,Muridae,Mus,Mus musculus,Mastadenovirus
HP3,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Mastadenovirus
HP3,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Mastadenovirus
HP3,Mammalia,Primates,Cercopithecidae,Macaca,Macaca mulatta,Mastadenovirus
HP3,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus vulgaris,Mastadenovirus
HP3,Mammalia,Scandentia,Tupaiidae,Tupaia,Tupaia belangeri,Mastadenovirus
HP3,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,Metapneumovirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Metapneumovirus
HP3,Mammalia,Primates,Hominidae,Pan,Pan troglodytes,Metapneumovirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Molluscipoxvirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Morbillivirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis mesomelas,Morbillivirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis simensis,Morbillivirus
HP3,Mammalia,Carnivora,Canidae,Cerdocyon,Cerdocyon thous,Morbillivirus
HP3,Mammalia,Carnivora,Hyaenidae,Crocuta,Crocuta crocuta,Morbillivirus
HP3,Mammalia,Carnivora,Phocidae,Cystophora,Cystophora cristata,Morbillivirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Morbillivirus
HP3,Mammalia,Carnivora,Felidae,Leopardus,Leopardus pardalis,Morbillivirus
HP3,Mammalia,Carnivora,Phocidae,Lobodon,Lobodon carcinophaga,Morbillivirus
HP3,Mammalia,Carnivora,Mustelidae,Lontra,Lontra canadensis,Morbillivirus
HP3,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,Morbillivirus
HP3,Mammalia,Primates,Cercopithecidae,Macaca,Macaca fascicularis,Morbillivirus
HP3,Mammalia,Carnivora,Phocidae,Pagophilus,Pagophilus groenlandicus,Morbillivirus
HP3,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,Morbillivirus
HP3,Mammalia,Carnivora,Canidae,Lycalopex,Lycalopex gymnocercus,Morbillivirus
HP3,Mammalia,Carnivora,Phocidae,Pusa,Pusa sibirica,Morbillivirus
HP3,Mammalia,Carnivora,Mustelidae,Taxidea,Taxidea taxus,Morbillivirus
HP3,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,Morbillivirus
HP3,Mammalia,Carnivora,Canidae,Urocyon,Urocyon littoralis,Morbillivirus
HP3,Mammalia,Carnivora,Ursidae,Ursus,Ursus maritimus,Morbillivirus
HP3,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox,Morbillivirus
HP3,Mammalia,Cetacea,Delphinidae,Delphinus,Delphinus delphis,Morbillivirus
HP3,Mammalia,Cetacea,Delphinidae,Globicephala,Globicephala melas,Morbillivirus
HP3,Mammalia,Cetacea,Phocoenidae,Phocoena,Phocoena phocoena,Morbillivirus
HP3,Mammalia,Cetacea,Delphinidae,Stenella,Stenella coeruleoalba,Morbillivirus
HP3,Mammalia,Cetacea,Delphinidae,Tursiops,Tursiops truncatus,Morbillivirus
HP3,Mammalia,Primates,Aotidae,Aotus,Aotus azarae,Morbillivirus
HP3,Mammalia,Primates,Aotidae,Aotus,Aotus trivirgatus,Morbillivirus
HP3,Mammalia,Primates,Cercopithecidae,Chlorocebus,Chlorocebus sabaeus,Morbillivirus
HP3,Mammalia,Primates,Cercopithecidae,Colobus,Colobus guereza,Morbillivirus
HP3,Mammalia,Primates,Cercopithecidae,Macaca,Macaca fuscata,Morbillivirus
HP3,Mammalia,Primates,Cercopithecidae,Macaca,Macaca mulatta,Morbillivirus
HP3,Mammalia,Primates,Cercopithecidae,Macaca,Macaca radiata,Morbillivirus
HP3,Mammalia,Primates,Cercopithecidae,Cercopithecus,Cercopithecus mona,Morbillivirus
HP3,Mammalia,Primates,Cebidae,Saimiri,Saimiri sciureus,Morbillivirus
HP3,Mammalia,Primates,Cercopithecidae,Semnopithecus,Semnopithecus entellus,Morbillivirus
HP3,Mammalia,Primates,Cercopithecidae,Trachypithecus,Trachypithecus cristatus,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Bubalus,Bubalus bubalis,Morbillivirus
HP3,Mammalia,Artiodactyla,Camelidae,Camelus,Camelus dromedarius,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Eudorcas,Eudorcas thomsonii,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Gazella,Gazella dorcas,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Pseudois,Pseudois nayaur,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Sylvicapra,Sylvicapra grimmia,Morbillivirus
HP3,Mammalia,Carnivora,Phocidae,Halichoerus,Halichoerus grypus,Morbillivirus
HP3,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Bos,Bos frontalis,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,Morbillivirus
HP3,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa camelopardalis,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus imberbis,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Taurotragus oryx,Morbillivirus
HP3,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,Morbillivirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Mupapillomavirus
HP3,Mammalia,Rodentia,Muridae,Apodemus,Apodemus flavicollis,Muromegalovirus
HP3,Mammalia,Rodentia,Muridae,Apodemus,Apodemus sylvaticus,Muromegalovirus
HP3,Mammalia,Rodentia,Cricetidae,Microtus,Microtus arvalis,Muromegalovirus
HP3,Mammalia,Rodentia,Muridae,Mus,Mus cervicolor,Muromegalovirus
HP3,Mammalia,Rodentia,Muridae,Mus,Mus musculus,Muromegalovirus
HP3,Mammalia,Rodentia,Sciuridae,Sciurus,Sciurus carolinensis,Muromegalovirus
HP3,Mammalia,Rodentia,Muridae,Bandicota,Bandicota indica,Muromegalovirus
HP3,Mammalia,Rodentia,Muridae,Rattus,Rattus exulans,Muromegalovirus
HP3,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,Muromegalovirus
HP3,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus,Muromegalovirus
HP3,Mammalia,Rodentia,Muridae,Rattus,Rattus tiomanicus,Muromegalovirus
HP3,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Norovirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Norovirus
HP3,Mammalia,Carnivora,Felidae,Felis,Felis catus,Norovirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Norovirus
HP3,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,Norovirus
HP3,Mammalia,Rodentia,Muridae,Apodemus,Apodemus sylvaticus,Norovirus
HP3,Mammalia,Rodentia,Muridae,Mus,Mus musculus,Norovirus
HP3,Mammalia,Artiodactyla,Suidae,Sus,Sus scrofa,Norovirus
HP3,Mammalia,Erinaceomorpha,Erinaceidae,Atelerix,Atelerix albiventris,Nucleorhabdovirus
HP3,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Nucleorhabdovirus
HP3,Mammalia,Rodentia,Nesomyidae,Cricetomys,Cricetomys gambianus,Nucleorhabdovirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Nucleorhabdovirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Nupapillomavirus
HP3,Mammalia,Cetacea,Phocoenidae,Phocoena,Phocoena spinipinnis,Omikronpapillomavirus
HP3,Mammalia,Carnivora,Felidae,Acinonyx,Acinonyx jubatus,Orbivirus
HP3,Mammalia,Artiodactyla,Camelidae,Camelus,Camelus dromedarius,Orbivirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis adustus,Orbivirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis lupus,Orbivirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis mesomelas,Orbivirus
HP3,Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,Ceratotherium simum,Orbivirus
HP3,Mammalia,Carnivora,Hyaenidae,Crocuta,Crocuta crocuta,Orbivirus
HP3,Mammalia,Perissodactyla,Rhinocerotidae,Diceros,Diceros bicornis,Orbivirus
HP3,Mammalia,Perissodactyla,Equidae,Equus,Equus asinus,Orbivirus
HP3,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,Orbivirus
HP3,Mammalia,Perissodactyla,Equidae,Equus,Equus burchellii,Orbivirus
HP3,Mammalia,Carnivora,Viverridae,Genetta,Genetta maculata,Orbivirus
HP3,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,Orbivirus
HP3,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,Orbivirus
HP3,Mammalia,Carnivora,Felidae,Panthera,Panthera leo,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Ammotragus,Ammotragus lervia,Orbivirus
HP3,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,Antilocapra americana,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Antilope,Antilope cervicapra,Orbivirus
HP3,Mammalia,Artiodactyla,Cervidae,Axis,Axis axis,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Bison,Bison bison,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Orbivirus
HP3,Mammalia,Carnivora,Canidae,Canis,Canis aureus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Capra,Capra pyrenaica,Orbivirus
HP3,Mammalia,Artiodactyla,Cervidae,Capreolus,Capreolus capreolus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Cephalophus,Cephalophus dorsalis,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Cephalophus,Cephalophus leucogaster,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Cephalophus,Cephalophus nigrifrons,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Cephalophus,Cephalophus weynsi,Orbivirus
HP3,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Orbivirus
HP3,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus nippon,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,Orbivirus
HP3,Mammalia,Artiodactyla,Cervidae,Dama,Dama dama,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,Orbivirus
HP3,Mammalia,Proboscidea,Elephantidae,Elephas,Elephas maximus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Eudorcas,Eudorcas thomsonii,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Gazella,Gazella gazella,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Gazella,Gazella subgutturosa,Orbivirus
HP3,Mammalia,Artiodactyla,Giraffidae,Giraffa,Giraffa camelopardalis,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Hippotragus,Hippotragus niger,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus ellipsiprymnus,Orbivirus
HP3,Mammalia,Rodentia,Muridae,Mastomys,Mastomys natalensis,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Nanger,Nanger granti,Orbivirus
HP3,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,Orbivirus
HP3,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus virginianus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Oreamnos,Oreamnos americanus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Oryx,Oryx beisa,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Oryx,Oryx gazella,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Oryx,Oryx leucoryx,Orbivirus
HP3,Mammalia,Rodentia,Muridae,Otomys,Otomys irroratus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Ourebia,Ourebia ourebi,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis canadensis,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Philantomba,Philantomba monticola,Orbivirus
HP3,Mammalia,Artiodactyla,Cervidae,Rangifer,Rangifer tarandus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Redunca,Redunca arundinum,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Redunca,Redunca fulvorufula,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Syncerus,Syncerus caffer,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus angasii,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Taurotragus oryx,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,Orbivirus
HP3,Mammalia,Carnivora,Ursidae,Ursus,Ursus americanus,Orbivirus
HP3,Mammalia,Pilosa,Bradypodidae,Bradypus,Bradypus variegatus,Orbivirus
HP3,Mammalia,Pilosa,Megalonychidae,Choloepus,Choloepus hoffmanni,Orbivirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Orbivirus
HP3,Mammalia,Rodentia,Cricetidae,Hylaeamys,Oryzomys megacephalus,Orbivirus
HP3,Mammalia,Chiroptera,Nycteridae,Nycteris,Nycteris gambiensis,Orbivirus
HP3,Mammalia,Chiroptera,Nycteridae,Nycteris,Nycteris nana,Orbivirus
HP3,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus agilis,Orbivirus
HP3,Mammalia,Carnivora,Otariidae,Eumetopias,Eumetopias jubatus,Orbivirus
HP3,Mammalia,Rodentia,Muridae,Arvicanthis,Arvicanthis niloticus,Orbivirus
HP3,Mammalia,Rodentia,Nesomyidae,Cricetomys,Cricetomys gambianus,Orbivirus
HP3,Mammalia,Chiroptera,Pteropodidae,Eidolon,Eidolon helvum,Orbivirus
HP3,Mammalia,Chiroptera,Pteropodidae,Syconycteris,Syconycteris australis,Orbivirus
HP3,Mammalia,Rodentia,Cricetidae,Calomys,Calomys callosus,Orbivirus
HP3,Mammalia,Rodentia,Thryonomyidae,Thryonomys,Thryonomys swinderianus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Bubalus,Bubalus bubalis,Orbivirus
HP3,Mammalia,Rodentia,Muridae,Meriones,Meriones hurrianae,Orbivirus
HP3,Mammalia,Rodentia,Muridae,Rattus,Rattus norvegicus,Orbivirus
HP3,Mammalia,Rodentia,Muridae,Rattus,Rattus rattus,Orbivirus
HP3,Mammalia,Rodentia,Muridae,Tatera,Tatera indica,Orbivirus
HP3,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus fuliginosus,Orbivirus
HP3,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus giganteus,Orbivirus
HP3,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus robustus,Orbivirus
HP3,Mammalia,Diprotodontia,Macropodidae,Macropus,Macropus rufus,Orbivirus
HP3,Mammalia,Artiodactyla,Bovidae,Aepyceros,Aepyceros melampus,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Bos,Bos taurus,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Camelidae,Camelus,Camelus dromedarius,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Capra,Capra hircus,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,Orthobunyavirus
HP3,Mammalia,Perissodactyla,Equidae,Equus,Equus caballus,Orthobunyavirus
HP3,Mammalia,Perissodactyla,Equidae,Equus,Equus burchellii,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Eudorcas,Eudorcas thomsonii,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Kobus,Kobus ellipsiprymnus,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Nanger,Nanger granti,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Ovis,Ovis aries,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Taurotragus oryx,Orthobunyavirus
HP3,Mammalia,Artiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,Orthobunyavirus
HP3,Mammalia,Primates,Hominidae,Homo,Homo sapiens,Orthobunyavirus
HP3,Mammalia,Rodentia,Muridae,Mus,Mus musculus,Orthobunyavirus
HP3,Mammalia,Primates,Cercopithecidae,Macaca,Macaca fascicularis,Orthobunyavirus
HP3,Mammalia,Rodentia,Muridae,Meriones,Meriones hurrianae,Orthobunyavirus
HP3,Mammalia,Primates,Lorisidae,Nycticebus,Nycticebus coucang,Orthobunyavirus
HP3,Mammalia,Primates,Cercopithecidae,Presbytis,Presbytis melalophos,Orthobunyavirus
HP3,Mammalia,Rodentia,Muridae,Tatera,Tatera indica,Orthobunyavirus
HP3,Mammalia,Primates,Cercopithecidae,Trachypithecus,Trachypithecus cristatus,Orthobunyavirus
HP3,Mammalia,Chiroptera,Phyllostomidae,Anoura,Anoura geoffroyi,Orthobunyavirus
HP3,Mammalia,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,Orthobunyavirus
HP3,Mammalia,Rodentia,Heteromyidae,Heteromys,Heteromys anomalus,Orthobunyavirus
HP3,Mammalia,Rodentia,Cricetidae,Hylaeamys,Oryzomys laticeps,Orthobunyavirus
HP3,Mammalia,Chiroptera,Natalidae,Natalus,Natalus tumidirostris,Orthobunyavirus
HP3,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Orthobunyavirus
